p_archivos,ej5-load,ej5-merge,ej6
39,58348901,243193519,91087392
40,55977356,240596285,89863781
41,50211901,243784155,89768451
42,49687753,245100945,90058322
43,53032704,242756513,119753590
44,57767144,323322913,120102659
45,60959653,320324096,121463258
46,59652563,321522297,119940385
47,60526998,321817581,121758362
48,61109123,323367208,121747207
49,65334030,320635251,122380149
50,58563474,323499975,120904858
51,68573453,316379634,106474140
52,59045400,280963227,106397091
53,56263203,278638625,105602128
54,60727230,281067110,105424147
55,58679964,284877730,105543205
56,60000738,280646673,105255042
57,61924693,282477016,105085524
58,50980542,282006640,106043919
59,60333230,280033326,105734230
60,57366022,273851314,92591401
61,52523607,240924079,91869333
62,52555152,241566318,90928895
63,45696597,245058877,90185526
64,44400841,242487759,89732885
65,49539690,246313766,89677152
66,49257663,242715149,90648637
67,35270213,245616934,89863079
68,51813235,243523396,89693556
69,50641287,239810523,89964067
70,41461877,244382330,90441807
71,34271429,222435745,81145527
72,36604866,218282318,81145297
73,46252338,218737715,81575114
74,41280305,219959695,82336039
75,39865139,219626311,82396824
76,34747486,222479670,82440112
77,39228180,222904170,81587572
78,45256818,220545883,82377087
79,45471689,221705662,80750391
80,47549946,220325930,81589356
81,41754050,221537231,82264883
82,41849280,225744494,90294247
83,46147185,242069597,91870916
84,45558666,239816840,91302849
85,49852931,246020496,90824990
86,36855049,241711908,90320240
87,45560935,241602985,90636642
88,39828649,243456176,91392328
89,46543090,245612594,90242691
90,49584570,254086831,91426755
91,37762478,245807010,90449655
92,41885275,242901276,90361103
93,48673037,319216868,122385678
94,59609931,318918002,123544237
95,51035077,322785193,123520780
96,43497045,326129855,122075318
97,55513833,321873796,121168493
98,43573401,324380565,121671302
99,55459143,322991171,122473613
100,53259084,323972412,123250241
1,342739970,70462845,341452886
2,155228428,203834897,198993788
3,93551871,244226855,143538071
4,63874968,261029972,119821864
5,64559527,265291501,116744069
6,90395819,250958824,100208761
7,88746077,235998632,97697245
8,93571368,237074223,97499994
9,88466167,237390738,95389895
10,92923197,238803384,94429317
11,80212911,237930399,95982400
12,82121329,239055693,94706846
13,83548636,239842025,94037345
14,73152239,239423217,92442980
15,77310592,243442384,93113405
16,67826762,217548915,85217802
17,65626633,217537360,84181424
18,64304601,218134342,83655781
19,67145672,218758851,81964932
20,56041581,217575254,83064539
21,58817010,219724886,83831180
22,66765839,218109008,82538981
23,61751834,220741531,82707798
24,54013334,218298270,83008194
25,58204675,219540300,83267227
26,51263046,216944356,82487592
27,52723311,241847531,90133157
28,49240721,242981513,90040245
29,59535886,242919631,91098804
30,56923996,241428237,90496539
31,58073344,242772421,90247541
32,58432354,240419471,90006931
33,60203117,243166704,90577386
34,61176398,244610332,91837638
35,52692201,243667833,91359089
36,50177771,243836108,90082632
37,52893291,224684568,81603212
38,51956297,218527416,82686495
39,58545826,217504975,81715764
