p_archivos,ej5-load,ej5-merge,ej6
7,128897854,358584450,211000590
8,146159077,392035366,204686888
9,147312949,396135886,205068295
10,131084016,392995150,200314602
11,133836056,343438043,174832252
12,137263398,269827330,168967113
13,141907970,347002934,167248481
14,138552977,343611845,168820538
15,140647966,343920727,166083070
16,148209588,347096026,170871685
17,146036995,347191364,190149618
18,162233300,401877167,196973992
19,167195438,338758213,199732574
20,167454602,335340918,187792849
21,170597431,338927274,195346691
22,191234350,354040245,169772254
23,153716208,344715131,167212886
24,158675779,316172319,167620669
25,158173452,284253673,167963404
26,153604269,284669651,163710997
27,163602515,288018930,161027685
28,166675243,343481203,163042680
29,182353568,410945585,196381443
30,188330290,411464092,191323480
31,198883391,411601907,193573323
32,197264155,405111313,193116601
33,204757396,353658539,191392130
34,215059383,560586734,251058137
35,258648498,529606184,273086213
36,278180433,540350388,262521883
37,275636934,529478883,250591809
38,235823540,463717892,217249671
39,231446156,455462938,217174359
40,230836754,458779603,218894224
41,229349141,469345198,214513746
42,242624575,391075973,185294577
43,209825737,404848270,189639806
44,217485382,361220035,188251209
45,215368442,413776727,185222873
46,221697177,369023449,191084923
47,210031114,356772799,140569079
48,199551655,348588032,161925597
49,205660041,354837217,157890506
50,198638045,357768534,157921218
51,212499336,356346490,154241250
52,186706561,318795788,159709798
53,172828509,320814021,139700794
54,180628042,316269394,144464316
55,186215687,269361680,141851642
56,181839316,321502416,144098743
57,170826100,313926479,145381179
58,182440853,274541427,137451837
59,183676676,343391839,155572644
60,199672744,349788450,157036697
61,201252362,349469951,152232376
62,200916177,355670169,161846043
63,188019056,303272054,166278793
64,206539061,301295476,159849390
65,206761142,404953187,214515521
66,243459769,430261331,204001972
67,255305841,450184704,218037021
68,234130744,461058778,211030546
69,264957328,462915360,187098011
70,202215394,414875752,181508565
71,212196692,406443886,176866090
72,235619302,415348592,176779408
73,230475168,414666390,174324120
74,227823301,344648874,154487154
75,198231581,355799253,131532672
76,189046250,310857115,147383559
77,187248106,337477546,150705374
78,192371247,343256162,151179324
79,210078930,358008345,149350530
80,188485139,324737873,142487306
81,185180244,310004519,135917783
82,179944206,324604845,135418573
83,186592516,275648914,137784419
84,183903621,278692031,136410438
85,183269243,323959999,142529862
86,184593292,280252764,151538032
87,196360346,354209837,154599782
88,185013800,334958058,148271478
89,210724114,354448377,156037475
90,204437772,314297408,144156769
91,206961533,360173141,143509730
92,200046050,299722107,139643476
93,194905553,323693915,137305268
94,191463904,325089299,127833648
95,187217298,279375691,138306773
96,194177527,323225598,134386132
97,172336657,321922424,132234722
98,186592898,283254103,143369842
99,188003050,314039515,155389454
100,181875882,311374794,147938788
1,430360067,30988921,431409526
2,220819050,191135506,279942136
3,147476270,245620484,224091532
4,110367532,271354748,235081186
5,147506052,362142644,250978062
6,146738780,431062878,245960298
7,163067364,358956341,242348847
8,165094346,444289278,237123452
9,169120208,452220569,205533216
10,154224537,393298160,201259387
11,153842608,393427590,201681001
12,155614401,400967110,196922920
13,163234985,401235086,200617553
14,165494785,327030172,194787391
15,166605593,377618700,230070438
16,183599753,378791226,225550602
17,187290146,459272911,225098230
18,187266969,464061392,223565832
19,187478283,455718892,220111774
20,168913533,406271656,192166874
21,161973659,338986345,198996609
22,168433732,406071255,190865422
23,176534233,339312989,184806611
24,173082391,335642618,184959476
25,173125204,368339299,157271869
26,151655170,342201061,167366373
27,158364719,291490337,165436717
28,163415854,343403248,154580703
29,157954525,291954504,153990398
30,169205315,340107445,164043962
31,168776945,340531233,149613355
32,174956015,266444031,150452639
33,167664448,276008378,148469336
34,167115694,264369799,135342416
35,161193072,322062456,147918472
36,164274404,311243807,148535380
37,179792719,271780675,145771379
38,167869147,297997625,164880569
39,179803230,305752776,164590453
40,195025393,300866203,163728228
41,190288254,314749407,161522032
42,199916437,322448707,165464221
43,196935435,354155386,160210353
44,212855401,473008113,211395993
45,236990579,439696900,214693065
46,228362705,459297463,211008560
47,230321783,463437785,214767431
48,249898575,402985490,190049065
49,207743309,353667259,185020070
50,220525107,356050139,184620140
51,205834116,413528462,184845339
52,208245908,350169725,182193661
53,212720895,369981313,167323917
54,183163974,297250536,160359813
55,195601954,316558112,157432123
56,188384884,355732167,154244055
57,190665608,304387544,159933925
58,205307273,355304771,137345478
59,187531172,342188148,143613092
60,188487015,320597831,121512767
61,187501793,305818146,138521955
62,177778351,317954864,146333385
63,171785776,320794307,141407813
64,180643102,273943635,128167139
65,191174886,323083233,135523793
66,186717962,314187516,156792501
67,196522444,357431832,159930922
68,186202478,355406928,152628655
69,183712341,348868661,160807139
70,204139383,341623923,159347857
71,217600791,348546753,212975128
72,244880008,414943398,209536380
73,231340227,468507271,210992093
74,241590443,454947899,206038605
75,240316130,457702749,198058504
76,250986193,705875929,305773352
77,325230231,640317146,245632634
78,332390313,620412860,302880964
79,333515965,609807296,253824017
80,271445347,573435135,256673477
81,290493340,581201232,250917205
82,298147586,496382552,250362166
83,244047001,444175725,200442084
84,263540290,476559556,194506824
85,218742326,451807657,199039543
86,243892286,458201302,202354703
87,246610312,410231182,178782218
88,217833782,358980151,178874695
89,212564114,400176883,182103234
90,212610476,433420814,165692284
91,246423143,376443943,173210009
92,193857620,384121618,143392438
93,206814498,348689287,148876254
94,204258233,310229198,153261666
95,195932474,350922506,152243630
96,198476867,339248390,147521416
97,201868044,306189380,142314080
98,195478801,287042889,138816576
99,182728239,283379510,136408238
100,194790799,315531887,136270919
1,392084110,29300393,388585772
2,199610796,172395295,251949846
3,132926381,218875728,204088687
4,99489360,245394190,196193882
5,115991296,307068176,190571952
6,119205721,272543965,185465098
7,123644814,329689954,180954920
8,121731168,333456296,177875678
9,127925223,341070350,175691289
10,135481806,342318519,169504815
11,159500153,449256094,231276665
12,178698458,454372663,230680980
13,183182536,459246813,230730357
14,184944636,373703366,227589728
15,181404936,382747886,212436494
16,161693717,330832745,191635358
17,163246999,402123466,191838107
18,168068944,405989604,194951051
19,170472031,331497048,196025969
20,179673009,398669937,186729446
21,170117067,295260636,164605775
22,145399214,348106880,169635312
23,152397453,283945762,167825534
24,146327058,287482990,165600498
25,151467548,348788612,164193302
26,160056611,287797177,155561287
27,164410961,316681469,148212610
28,157092037,314532284,151432930
29,155925873,260527479,150496171
30,148799400,313381963,149216341
31,167173758,316718491,147907451
32,166162534,314560033,149077988
33,165491857,322253451,149254573
34,172173676,350042127,160886691
35,199313634,346512787,163112219
36,185187427,356310919,161270391
