p_archivos,ej5-load,ej5-merge,ej6
5,10369565,15413206,10370001
6,7478792,15529190,10123982
7,7219145,15470163,9990705
8,8351266,16998015,9898655
9,7266927,15147484,9959287
10,8774537,16829963,10626358
11,7584241,15809283,10019993
12,8293425,17544388,9878083
13,9111355,17258341,10168912
14,8455062,16661283,9777024
15,9231254,15222278,11154223
16,9407625,17296230,10164465
17,8205298,17431083,9788818
18,9443155,16334661,10307520
19,8786532,16374725,10173257
20,8315447,15238650,9794333
21,10115886,18188181,10013024
22,9330641,17601818,10268519
23,8484178,15662944,11814304
24,9825923,17078985,11539679
25,8182831,17375092,9928075
26,10387421,18248971,10710702
27,9811219,16902401,9748854
28,12910985,20268797,10351872
29,10366183,16586057,11143244
30,14916914,18777140,10569887
31,11866530,18793477,10746666
32,8755992,15781662,10217539
33,8685802,15268527,11182122
34,10983160,18000073,10765257
35,11401480,18152884,10375369
36,11815465,17618044,10447398
37,11270915,18610026,10847271
38,10896539,18741371,10048639
39,9536810,16915794,10224416
40,12091515,18349690,10770474
41,13044797,18709131,9961959
42,10208413,18026839,10302731
43,12912977,19541691,11121415
44,12342681,19740348,9980885
45,8853275,16300837,10870215
46,11097226,17169767,10433632
47,11709317,19104717,10584438
48,9974672,15575694,10486413
49,10352537,16553163,10211168
50,17285706,18967380,10249420
51,12474300,18643591,10043317
52,9404927,16048291,10901738
53,15343194,19173422,10112576
54,11624359,18712507,10229231
55,11608905,19065052,10766594
56,9292639,17906865,12620583
57,14116979,17991890,10190684
58,15281594,17886802,11172830
59,13641352,18956759,10118869
60,12650691,17747253,11483123
61,10793877,16438414,11641265
62,53017765,21266098,10039180
63,11271296,17729854,10736690
64,12600656,18481768,11131995
65,9534258,16232581,10524346
66,11358173,17884471,11582453
67,13624889,19904726,10866074
68,16082661,19184051,12376455
69,13957086,19270448,12931430
70,9746600,16046060,12318628
71,10845140,15683278,10507208
72,9269058,17005243,12152533
73,9768878,17628669,10875322
74,9520002,16540023,10468293
75,9553288,18114486,11617060
76,9581595,16259631,11922750
77,14794518,20339948,10674713
78,9551009,17745056,11449338
79,10986186,15684580,10436097
80,10482913,16450174,11397493
81,13651060,18584648,10411648
82,9081511,15303299,11301109
83,15851554,19559966,11537953
84,9486782,17432622,12008013
85,13482507,19435756,10905700
86,15958434,20306152,11084106
87,14500216,18998242,12189743
88,10781355,19122882,11731874
89,12234133,19520460,11949289
90,12046114,18142132,10239856
91,14703488,19764712,10962179
92,9036417,15899797,10691166
93,9900274,17302093,11215038
94,12696022,16899640,10789135
95,10423459,16804565,11620000
96,9720778,16722371,12082425
97,10431841,17380417,10460806
98,16480190,19466618,11340300
99,11804226,16488241,10434692
100,13082053,18340096,10687729
1,148446421,11940328,63490093
2,29007472,15082766,25057177
3,13630398,13374078,13102694
4,7492919,14012080,10730885
5,7953481,15989241,10880772
6,8297132,14734747,10376153
7,8392252,14796283,10198215
8,7919292,14619400,10258694
9,8512682,14222760,10635966
10,9792004,14939034,10472456
11,9138885,14467890,10459103
12,8523495,14174848,10145235
13,9376907,14801336,11325278
14,8754781,14411960,10195229
15,9421304,14475843,10326184
16,9276024,16333289,10510924
17,9881177,16436076,10494237
